Joel_Joel_29_1_1_Dies ist das Wort des HERRN, das geschehen ist zu Joel, dem Sohn Pethuels.
Joel_Joel_29_2_3_Vor ihm her geht ein verzehrend Feuer und nach ihm eine brennende Flamme. Das Land ist vor ihm wie ein Lustgarten, aber nach ihm wie eine wüste Einöde, und niemand wird ihm entgehen.
Joel_Joel_29_2_4_Sie sind gestaltet wie Rosse und rennen wie die Reiter.
Joel_Joel_29_2_5_Sie sprengen daher oben auf den Bergen, wie die Wagen rasseln, und wie eine Flamme lodert im Stroh, wie ein mächtiges Volk, das zum Streit gerüstet ist.
Joel_Joel_29_2_6_Die Völker werden sich vor ihm entsetzen, aller Angesichter werden bleich.
Joel_Joel_29_2_7_Sie werden laufen wie die Riesen und die Mauern ersteigen wie die Krieger; ein jeglicher wird stracks vor sich daherziehen und sich nicht säumen.
Joel_Joel_29_2_8_Keiner wird den andern irren; sondern ein jeglicher wird in seiner Ordnung daherfahren und werden durch die Waffen brechen und nicht verwundet werden.
Joel_Joel_29_2_9_Sie werden in der Stadt umherrennen, auf der Mauer laufen und in die Häuser steigen und wie ein Dieb durch die Fenster hineinkommen.
Joel_Joel_29_2_10_Vor ihm zittert das ganze Land und bebt der Himmel; Sonne und Mond werden finster, und die Sterne verhalten ihren Schein.
Joel_Joel_29_2_11_Denn der HERR wird seinen Donner vor seinem Heer lassen her gehen; denn sein Heer ist sehr groß und mächtig, das seinen Befehl wird ausrichten; denn der Tag des HERRN ist groß und sehr erschrecklich: wer kann ihn leiden?
Joel_Joel_29_2_12_Doch spricht auch jetzt der HERR: Bekehrt euch zu mir von ganzem Herzen mit Fasten, mit Weinen, mit Klagen!
Joel_Joel_29_2_13_Zerreißet eure Herzen und nicht eure Kleider, und bekehret euch zu dem HERRN, eurem Gott! denn er ist gnädig, barmherzig, geduldig und von großer Güte, und ihn reut bald der Strafe.
Joel_Joel_29_2_14_Wer weiß, es mag ihn wiederum gereuen, und er mag einen Segen hinter sich lassen, zu opfern Speisopfer und Trankopfer dem HERRN, eurem Gott.
Joel_Joel_29_2_15_Blaset mit Posaunen zu Zion, heiliget ein Fasten, rufet die Gemeinde zusammen!
Joel_Joel_29_2_16_Versammelt das Volk, heiliget die Gemeinde, sammelt die Ältesten, bringt zuhauf die jungen Kinder und die Säuglinge! Der Bräutigam gehe aus seiner Kammer und die Braut aus ihrem Gemach.
Joel_Joel_29_2_17_Lasset die Priester, des Hauses Diener, weinen zwischen Halle und Altar und sagen: HERR, schone deines Volkes und laß dein Erbteil nicht zu Schanden werden, daß Heiden über sie herrschen! Warum willst du lassen unter den Völkern sagen: Wo ist nun ihr Gott?
Joel_Joel_29_2_18_So wird der HERR um sein Land eifern und sein Volk verschonen.
Joel_Joel_29_2_19_Und der HERR wird antworten und sagen zu seinem Volk: Siehe, ich will euch Getreide, Most und Öl die Fülle schicken, daß ihr genug daran haben sollt, und will euch nicht mehr lassen unter den Heiden zu Schanden werden,
Joel_Joel_29_2_20_und will den von Mitternacht fern von euch treiben und ihn in ein dürres und wüstes Land verstoßen, sein Angesicht hin zum Meer gegen Morgen und sein Ende hin zum Meer gegen Abend. Er soll verfaulen und stinken; denn er hat große Dinge getan.
Joel_Joel_29_2_21_Fürchte dich nicht, liebes Land, sondern sei fröhlich und getrost; denn der HERR kann auch große Dinge tun.
Joel_Joel_29_2_22_Fürchtet euch nicht, ihr Tiere auf dem Felde; denn die Auen in der Wüste sollen grünen und die Bäume ihre Früchte bringen, und die Feigenbäume und Weinstöcke sollen wohl tragen.
Joel_Joel_29_2_23_Und ihr, Kinder Zions, freut euch und seid fröhlich im HERRN, eurem Gott, der euch Lehrer zur Gerechtigkeit gibt und euch herabsendet Frühregen und Spätregen wie zuvor,
Joel_Joel_29_2_24_daß die Tenne voll Korn werden und die Keltern Überfluß von Most und Öl haben sollen.
Joel_Joel_29_2_25_Und ich will euch die Jahre erstatten, welche die Heuschrecken, Käfer, Geschmeiß und Raupen, mein großes Heer, so ich unter euch schickte, gefressen haben;
Joel_Joel_29_2_26_daß ihr zu essen genug haben sollt und den Namen des HERRN, eures Gottes, preisen, der Wunder unter euch getan hat; und mein Volk soll nicht mehr zu Schanden werden.
Joel_Joel_29_2_27_Und ihr sollt erfahren, daß ich mitten unter Israel sei und daß ich, der HERR, euer Gott sei und keiner mehr; und mein Volk soll nicht mehr zu Schanden werden.
Joel_Joel_29_2_28_Und nach diesem will ich meinen Geist ausgießen über alles Fleisch, und eure Söhne und Töchter sollen weissagen; eure Ältesten sollen Träume haben, und eure Jünglinge sollen Gesichte sehen;
Joel_Joel_29_2_29_auch will ich mich zur selben Zeit über Knechte und Mägde meinen Geist ausgießen.
Joel_Joel_29_2_30_Und ich will Wunderzeichen geben am Himmel und auf Erden: Blut, Feuer und Rauchdampf;
Joel_Joel_29_2_31_die Sonne soll in Finsternis und der Mond in Blut verwandelt werden, ehe denn der große und schreckliche Tag des HERRN kommt.
Joel_Joel_29_2_32_Und es soll geschehen, wer des HERRN Namen anrufen wird, der soll errettet werden. Denn auf dem Berge Zion und zu Jerusalem wird eine Errettung sein, wie der HERR verheißen hat, auch bei den andern übrigen, die der HERR berufen wird.
Joel_Joel_29_3_1_Denn siehe, in den Tagen und zur selben Zeit, wann ich das Gefängnis Juda's und Jerusalems wenden werde,
Joel_Joel_29_3_2_will ich alle Heiden zusammenbringen und will sie in das Tal Josaphat hinabführen und will mit ihnen daselbst rechten wegen meines Volks und meines Erbteils Israel, weil sie es unter die Heiden zerstreut und sich mein Land geteilt
Joel_Joel_29_3_3_und das Los um mein Volk geworfen haben; und haben die Knaben um Speise gegeben und die Mägdlein um Wein verkauft und vertrunken.
Joel_Joel_29_3_4_Und ihr von Tyrus und Sidon und alle Kreise der Philister, was habt ihr mit mir zu tun? Wollt ihr mir trotzen? Wohlan, trotzet ihr mir, so will ich's euch eilend und bald wiedervergelten auf euren Kopf.
Joel_Joel_29_3_5_Die ihr mein Silber und Gold und meine schönen Kleinode genommen und in eure Tempel gebracht habt,
Joel_Joel_29_3_6_dazu auch die Kinder Juda und die Kinder Jerusalems verkauft habt den Griechen, auf daß ihr sie ja fern von ihren Grenzen brächtet.
Joel_Joel_29_3_7_Siehe, ich will sie erwecken aus dem Ort, dahin ihr sie verkauft habt, und will's euch vergelten auf euren Kopf.
Joel_Joel_29_3_8_Und will eure Söhne und Töchter wiederum verkaufen durch die Kinder Juda; die sollen sie denen in Reicharabien, einem Volk in fernen Landen, verkaufen; denn der HERR hat's geredet.
Joel_Joel_29_3_9_Rufet dies aus unter den Heiden! Heiliget einen Streit! Erwecket die Starken! Lasset herzukommen und hinaufziehen alle Kriegsleute!
Joel_Joel_29_3_10_Macht aus euren Pflugscharen Schwerter und aus euren Sicheln Spieße! der Schwache spreche: Ich bin stark!
Joel_Joel_29_3_11_Rottet euch und kommt her, alle Heiden um und um, und versammelt euch! Daselbst führe du hernieder, HERR, deine Starken!
Joel_Joel_29_3_12_Die Heiden werden sich aufmachen und heraufkommen zum Tal Josaphat; denn daselbst will ich sitzen, zu richten alle Heiden um und um.
Joel_Joel_29_3_13_Schlagt die Sichel an, denn die Ernte ist reif; kommt herab, denn die Kelter ist voll, und die Kufen laufen über; denn ihre Bosheit ist groß.
Joel_Joel_29_3_14_Es werden Haufen über Haufen Volks sein im Tal des Urteils; denn des HERRN Tag ist nahe im Tal des Urteils.
Joel_Joel_29_3_15_Sonne und Mond werden sich verfinstern, und die Sterne werden ihren Schein verhalten.
Joel_Joel_29_3_16_Und der HERR wird aus Zion brüllen und aus Jerusalem seine Stimme lassen hören, daß Himmel und Erde beben wird. Aber der HERR wird seinem Volk eine Zuflucht sein und eine Feste den Kindern Israel.
Joel_Joel_29_3_17_Und ihr sollt es erfahren, daß ich, der HERR, euer Gott, zu Zion auf meinem heiligen Berge wohne. Alsdann wird Jerusalem heilig sein und kein Fremder mehr durch sie wandeln.
Joel_Joel_29_3_18_Zur selben Zeit werden die Berge von süßem Wein triefen und die Hügel von Milch fließen, und alle Bäche in Juda werden voll Wasser gehen; und wird eine Quelle vom Hause des HERRN herausgehen, die wird das Tal Sittim wässern.
Joel_Joel_29_3_19_Aber Ägypten soll wüst werden und Edom eine wüste Einöde um den Frevel, an den Kindern Juda begangen, daß sie unschuldig Blut in ihrem Lande vergossen haben.
Joel_Joel_29_3_20_Aber Juda soll ewiglich bewohnt werden und Jerusalem für und für.
Joel_Joel_29_3_21_Und ich will ihr Blut nicht ungerächt lassen. Und der HERR wird wohnen zu Zion.
