Lukas_Lk_42_1_1_Sintemal sich's viele unterwunden haben, Bericht zu geben von den Geschichten, so unter uns ergangen sind,
Lukas_Lk_42_1_17_Und er wird vor ihm her gehen im Geist und Kraft des Elia, zu bekehren die Herzen der Väter zu den Kindern und die Ungläubigen zu der Klugheit der Gerechten, zuzurichten dem HERRN ein bereitet Volk.
Lukas_Lk_42_1_18_Und Zacharias sprach zu dem Engel: Wobei soll ich das erkennen? Denn ich bin alt und mein Weib ist betagt.
Lukas_Lk_42_1_19_Der Engel antwortete und sprach zu ihm: Ich bin Gabriel, der vor Gott steht, und bin gesandt, mit dir zu reden, daß ich dir solches verkündigte.
Lukas_Lk_42_1_20_Und siehe, du wirst verstummen und nicht reden können bis auf den Tag, da dies geschehen wird, darum daß du meinen Worten nicht geglaubt hast, welche sollen erfüllt werden zu ihrer Zeit.
Lukas_Lk_42_1_21_Und das Volk wartete auf Zacharias und verwunderte sich, daß er so lange im Tempel verzog.
Lukas_Lk_42_1_22_Und da er herausging, konnte er nicht mit ihnen reden; und sie merkten, daß er ein Gesicht gesehen hatte im Tempel. Und er winkte ihnen und blieb stumm.
Lukas_Lk_42_1_23_Und es begab sich, da die Zeit seines Amts aus war, ging er heim in sein Haus.
Lukas_Lk_42_1_24_Und nach den Tagen ward sein Weib Elisabeth schwanger und verbarg sich fünf Monate und sprach:
Lukas_Lk_42_1_25_Also hat mir der HERR getan in den Tagen, da er mich angesehen hat, daß er meine Schmach unter den Menschen von mir nähme.
Lukas_Lk_42_1_26_Und im sechsten Monat ward der Engel Gabriel gesandt von Gott in eine Stadt in Galiläa, die heißt Nazareth,
Lukas_Lk_42_1_27_zu einer Jungfrau, die vertraut war einem Manne mit Namen Joseph, vom Hause David: und die Jungfrau hieß Maria.
Lukas_Lk_42_1_28_Und der Engel kam zu ihr hinein und sprach: Gegrüßet seist du, Holdselige! Der HERR ist mit dir, du Gebenedeite unter den Weibern!
Lukas_Lk_42_1_29_Da sie aber ihn sah, erschrak sie über seine Rede und gedachte: Welch ein Gruß ist das?
Lukas_Lk_42_1_30_Und der Engel sprach zu ihr: Fürchte dich nicht, Maria! du hast Gnade bei Gott gefunden.
Lukas_Lk_42_1_31_Siehe, du wirst schwanger werden und einen Sohn gebären, des Namen sollst du Jesus heißen.
Lukas_Lk_42_1_32_Der wird groß sein und ein Sohn des Höchsten genannt werden; und Gott der HERR wird ihm den Stuhl seines Vaters David geben;
Lukas_Lk_42_1_33_und er wird ein König sein über das Haus Jakob ewiglich, und seines Königreiches wird kein Ende sein.
Lukas_Lk_42_1_34_Da sprach Maria zu dem Engel: Wie soll das zugehen, da ich von keinem Manne weiß?
Lukas_Lk_42_1_35_Der Engel antwortete und sprach zu ihr: Der heilige Geist wird über dich kommen, und die Kraft des Höchsten wird dich überschatten; darum wird auch das Heilige, das von dir geboren wird, Gottes Sohn genannt werden.
Lukas_Lk_42_1_36_Und siehe, Elisabeth, deine Gefreunde, ist auch schwanger mit einem Sohn in ihrem Alter und geht jetzt im sechsten Monat, von der man sagt, daß sie unfruchtbar sei.
Lukas_Lk_42_1_37_Denn bei Gott ist kein Ding unmöglich.
Lukas_Lk_42_1_38_Maria aber sprach: Siehe ich bin des HERRN Magd; mir geschehe, wie du gesagt hast. Und der Engel schied von ihr.
Lukas_Lk_42_1_39_Maria aber stand auf in den Tagen und ging auf das Gebirge eilends zu der Stadt Juda's
Lukas_Lk_42_1_40_und kam in das Haus des Zacharias und grüßte Elisabeth.
Lukas_Lk_42_1_41_Und es begab sich, als Elisabeth den Gruß Marias hörte, hüpfte das Kind in ihrem Leibe. Und Elisabeth ward des heiligen Geistes voll
Lukas_Lk_42_1_42_und rief laut und sprach: Gebenedeit bist du unter den Weibern, und gebenedeit ist die Frucht deines Leibes!
Lukas_Lk_42_1_43_Und woher kommt mir das, daß die Mutter meines HERRN zu mir kommt?
Lukas_Lk_42_1_44_Siehe, da ich die Stimme deines Grußes hörte, hüpfte mit Freuden das Kind in meinem Leibe.
Lukas_Lk_42_1_45_Und o selig bist du, die du geglaubt hast! denn es wird vollendet werden, was dir gesagt ist von dem HERRN.
Lukas_Lk_42_1_46_Und Maria sprach: Meine Seele erhebt den HERRN,
Lukas_Lk_42_1_47_und mein Geist freuet sich Gottes, meines Heilands;
Lukas_Lk_42_1_48_denn er hat die Niedrigkeit seiner Magd angesehen. Siehe, von nun an werden mich selig preisen alle Kindeskinder;
Lukas_Lk_42_1_49_denn er hat große Dinge an mir getan, der da mächtig ist und des Name heilig ist.
Lukas_Lk_42_1_50_Und seine Barmherzigkeit währet immer für und für bei denen, die ihn fürchten.
Lukas_Lk_42_1_51_Er übet Gewalt mit seinem Arm und zerstreut, die hoffärtig sind in ihres Herzens Sinn.
Lukas_Lk_42_1_52_Er stößt die Gewaltigen vom Stuhl und erhebt die Niedrigen.
Lukas_Lk_42_1_53_Die Hungrigen füllt er mit Gütern und läßt die Reichen leer.
Lukas_Lk_42_1_54_Er denkt der Barmherzigkeit und hilft seinem Diener Israel wieder auf,
Lukas_Lk_42_1_55_wie er geredet hat unsern Vätern, Abraham und seinem Samen ewiglich.
Lukas_Lk_42_1_56_Und Maria blieb bei ihr bei drei Monaten; darnach kehrte sie wiederum heim.
Lukas_Lk_42_1_57_Und Elisabeth kam ihre Zeit, daß sie gebären sollte; und sie gebar einen Sohn.
Lukas_Lk_42_1_58_Und ihre Nachbarn und Gefreunde hörten, daß der HERR große Barmherzigkeit an ihr getan hatte, und freuten sich mit ihr.
Lukas_Lk_42_1_59_Und es begab sich am achten Tage, da kamen sie, zu beschneiden das Kindlein, und hießen ihn nach seinem Vater Zacharias.
Lukas_Lk_42_1_60_Aber seine Mutter antwortete und sprach: Mitnichten, sondern er soll Johannes heißen.
Lukas_Lk_42_1_61_Und sie sprachen zu ihr: Ist doch niemand in deiner Freundschaft, der also heiße.
Lukas_Lk_42_1_62_Und sie winkten seinem Vater, wie er ihn wollte heißen lassen.
Lukas_Lk_42_1_63_Und er forderte ein Täfelein und schrieb also: Er heißt Johannes. Und sie verwunderten sich alle.
Lukas_Lk_42_1_64_Und alsbald ward sein Mund und seine Zunge aufgetan, und er redete und lobte Gott.
Lukas_Lk_42_1_65_Und es kam eine Furcht über alle Nachbarn; und die ganze Geschichte ward ruchbar auf dem ganzen jüdischen Gebirge.
Lukas_Lk_42_1_66_Und alle, die es hörten, nahmen's zu Herzen und sprachen: Was, meinst du, will aus dem Kindlein werden? Denn die Hand des HERRN war mit ihm.
Lukas_Lk_42_1_67_Und sein Vater Zacharias ward des heiligen Geistes voll, weissagte und sprach:
Lukas_Lk_42_1_68_Gelobet sei der HERR, der Gott Israels! denn er hat besucht und erlöst sein Volk
Lukas_Lk_42_1_69_und hat uns aufgerichtet ein Horn des Heils in dem Hause seines Dieners David,
Lukas_Lk_42_1_70_wie er vorzeiten geredet hat durch den Mund des Propheten:
Lukas_Lk_42_1_71_daß er uns errettete von unseren Feinden und von der Hand aller, die uns hassen,
Lukas_Lk_42_1_72_und Barmherzigkeit erzeigte unsern Vätern und gedächte an seinen heiligen Bund
Lukas_Lk_42_1_73_und an den Eid, den er geschworen hat unserm Vater Abraham, uns zu geben,
Lukas_Lk_42_1_74_daß wir, erlöst aus der Hand unserer Feinde, ihm dienten ohne Furcht unser Leben lang
Lukas_Lk_42_1_75_in Heiligkeit und Gerechtigkeit, die ihm gefällig ist.
Lukas_Lk_42_1_76_Und du, Kindlein, wirst ein Prophet des Höchsten heißen. Du wirst vor dem HERRN her gehen, daß du seinen Weg bereitest
Lukas_Lk_42_1_77_und Erkenntnis des Heils gebest seinem Volk, das da ist in Vergebung ihrer Sünden;
Lukas_Lk_42_1_78_durch die herzliche Barmherzigkeit unsers Gottes, durch welche uns besucht hat der Aufgang aus der Höhe,
Lukas_Lk_42_1_79_auf daß er erscheine denen, die da sitzen in Finsternis und Schatten des Todes, und richte unsere Füße auf den Weg des Friedens.
Lukas_Lk_42_1_80_Und das Kindlein wuchs und ward stark im Geist; und er war in der Wüste, bis daß er sollte hervortreten vor das Volk Israel.
Lukas_Lk_42_2_1_Es begab sich aber zu der Zeit, daß ein Gebot von dem Kaiser Augustus ausging, daß alle Welt geschätzt würde.
Lukas_Lk_42_2_2_Und diese Schätzung war die allererste und geschah zu der Zeit, da Cyrenius Landpfleger von Syrien war.
Lukas_Lk_42_2_3_Und jedermann ging, daß er sich schätzen ließe, ein jeglicher in seine Stadt.
Lukas_Lk_42_2_4_Da machte sich auch auf Joseph aus Galiläa, aus der Stadt Nazareth, in das jüdische Land zur Stadt Davids, die da heißt Bethlehem, darum daß er von dem Hause und Geschlechte Davids war,
Lukas_Lk_42_2_5_auf daß er sich schätzen ließe mit Maria, seinem vertrauten Weibe, die ward schwanger.
Lukas_Lk_42_2_6_Und als sie daselbst waren, kam die Zeit, da sie gebären sollte.
Lukas_Lk_42_2_7_Und sie gebar ihren ersten Sohn und wickelte ihn in Windeln und legte ihn in eine Krippe; denn sie hatten sonst keinen Raum in der Herberge.
Lukas_Lk_42_2_8_Und es waren Hirten in derselben Gegend auf dem Felde bei den Hürden, die hüteten des Nachts ihre Herde.
Lukas_Lk_42_2_9_Und siehe, des HERRN Engel trat zu ihnen, und die Klarheit des HERRN leuchtete um sie; und sie fürchteten sich sehr.
Lukas_Lk_42_2_10_Und der Engel sprach zu ihnen: Fürchtet euch nicht! siehe, ich verkündige euch große Freude, die allem Volk widerfahren wird;
Lukas_Lk_42_2_11_denn euch ist heute der Heiland geboren, welcher ist Christus, der HERR, in der Stadt Davids.
Lukas_Lk_42_2_12_Und das habt zum Zeichen: ihr werdet finden das Kind in Windeln gewickelt und in einer Krippe liegen.
Lukas_Lk_42_2_13_Und alsbald war da bei dem Engel die Menge der himmlischen Heerscharen, die lobten Gott und sprachen:
Lukas_Lk_42_2_14_Ehre sei Gott in der Höhe und Frieden auf Erden und den Menschen ein Wohlgefallen.
Lukas_Lk_42_2_15_Und da die Engel von ihnen gen Himmel fuhren, sprachen die Hirten untereinander: Laßt uns nun gehen gen Bethlehem und die Geschichte sehen, die da geschehen ist, die uns der HERR kundgetan hat.
Lukas_Lk_42_2_16_Und sie kamen eilend und fanden beide, Maria und Joseph, dazu das Kind in der Krippe liegen.
Lukas_Lk_42_2_17_Da sie es aber gesehen hatten, breiteten sie das Wort aus, welches zu ihnen von diesem Kinde gesagt war.
Lukas_Lk_42_2_18_Und alle, vor die es kam, wunderten sich der Rede, die ihnen die Hirten gesagt hatten.
Lukas_Lk_42_2_19_Maria aber behielt alle diese Worte und bewegte sie in ihrem Herzen.
Lukas_Lk_42_2_20_Und die Hirten kehrten wieder um, priesen und lobten Gott um alles, was sie gehört und gesehen hatten, wie denn zu ihnen gesagt war.
Lukas_Lk_42_2_21_Und da acht Tage um waren, daß das Kind beschnitten würde, da ward sein Name genannt Jesus, welcher genannt war von dem Engel, ehe denn er in Mutterleibe empfangen ward.
Lukas_Lk_42_2_22_Und da die Tage ihrer Reinigung nach dem Gesetz Mose's kamen, brachten sie ihn gen Jerusalem, auf daß sie ihn darstellten dem HERRN
Lukas_Lk_42_2_23_(wie denn geschrieben steht in dem Gesetz des HERRN: \"Allerlei männliches, das zum ersten die Mutter bricht, soll dem HERRN geheiligt heißen\")
Lukas_Lk_42_2_24_und das sie gäben das Opfer, wie es gesagt ist im Gesetz des HERRN: \"Ein Paar Turteltauben oder zwei junge Tauben.\"
Lukas_Lk_42_2_25_Und siehe, ein Mensch war zu Jerusalem, mit Namen Simeon; und derselbe Mensch war fromm und gottesfürchtig und wartete auf den Trost Israels, und der heilige Geist war in ihm.
Lukas_Lk_42_2_26_Und ihm war eine Antwort geworden von dem heiligen Geist, er sollte den Tod nicht sehen, er hätte denn zuvor den Christus des HERRN gesehen.
Lukas_Lk_42_2_27_Und er kam aus Anregen des Geistes in den Tempel. Und da die Eltern das Kind Jesus in den Tempel brachten, daß sie für ihn täten, wie man pflegt nach dem Gesetz,
Lukas_Lk_42_2_28_da nahm er ihn auf seine Arme und lobte Gott und sprach:
Lukas_Lk_42_2_29_HERR, nun läßt du deinen Diener in Frieden fahren, wie du gesagt hast;
Lukas_Lk_42_2_30_denn meine Augen haben deinen Heiland gesehen,
Lukas_Lk_42_2_31_welchen du bereitest hast vor allen Völkern,
Lukas_Lk_42_2_32_ein Licht, zu erleuchten die Heiden, und zum Preis deines Volkes Israel.
Lukas_Lk_42_2_33_Und sein Vater und seine Mutter wunderten sich des, das von ihm geredet ward.
Lukas_Lk_42_2_34_Und Simeon segnete sie und sprach zu Maria, seiner Mutter: Siehe, dieser wird gesetzt zu einem Fall und Auferstehen vieler in Israel und zu einem Zeichen, dem widersprochen wird
Lukas_Lk_42_2_35_(und es wird ein Schwert durch deine Seele dringen), auf daß vieler Herzen Gedanken offenbar werden.
Lukas_Lk_42_2_36_Und es war eine Prophetin, Hanna, eine Tochter Phanuels, vom Geschlecht Asser; die war wohl betagt und hatte gelebt sieben Jahre mit ihrem Manne nach ihrer Jungfrauschaft
Lukas_Lk_42_2_37_und war nun eine Witwe bei vierundachtzig Jahren; die kam nimmer vom Tempel, diente Gott mit Fasten und Beten Tag und Nacht.
Lukas_Lk_42_2_38_Die trat auch hinzu zu derselben Stunde und pries den HERRN und redete von ihm zu allen, die da auf die Erlösung zu Jerusalem warteten.
Lukas_Lk_42_2_39_Und da sie alles vollendet hatten nach dem Gesetz des HERRN, kehrten sie wieder nach Galiläa zu ihrer Stadt Nazareth.
Lukas_Lk_42_2_40_Aber das Kind wuchs und ward stark im Geist, voller Weisheit, und Gottes Gnade war bei ihm.
Lukas_Lk_42_2_41_Und seine Eltern gingen alle Jahre gen Jerusalem auf das Osterfest.
Lukas_Lk_42_2_42_Und da er zwölf Jahre alt war, gingen sie hinauf gen Jerusalem nach der Gewohnheit des Festes.
Lukas_Lk_42_2_43_Und da die Tage vollendet waren und sie wieder nach Hause gingen, blieb das Kind Jesus zu Jerusalem, und seine Eltern wußten's nicht.
Lukas_Lk_42_2_44_Sie meinten aber, er wäre unter den Gefährten, und kamen eine Tagereise weit und suchten ihn unter den Gefreunden und Bekannten.
Lukas_Lk_42_2_45_Und da sie ihn nicht fanden, gingen sie wiederum gen Jerusalem und suchten ihn.
Lukas_Lk_42_2_46_Und es begab sich, nach drei Tagen fanden sie ihn im Tempel sitzen mitten unter den Lehrern, wie er ihnen zuhörte und sie fragte.
Lukas_Lk_42_2_47_Und alle, die ihm zuhörten, verwunderten sich seines Verstandes und seiner Antworten.
Lukas_Lk_42_2_48_Und da sie ihn sahen, entsetzten sie sich. Seine Mutter aber sprach zu ihm: Mein Sohn, warum hast du uns das getan? Siehe, dein Vater und ich haben dich mit Schmerzen gesucht.
Lukas_Lk_42_2_49_Und er sprach zu ihnen: Was ist's, daß ihr mich gesucht habt? Wisset ihr nicht, daß ich sein muß in dem, das meines Vaters ist?
Lukas_Lk_42_2_50_Und sie verstanden das Wort nicht, das er mit ihnen redete.
Lukas_Lk_42_2_51_Und er ging mit ihnen hinab und kam gen Nazareth und war ihnen untertan. Und seine Mutter behielt alle diese Worte in ihrem Herzen.
Lukas_Lk_42_2_52_Und Jesus nahm zu an Weisheit, Alter und Gnade bei Gott und den Menschen.
Lukas_Lk_42_3_1_In dem fünfzehnten Jahr des Kaisertums Kaisers Tiberius, da Pontius Pilatus Landpfleger in Judäa war und Herodes ein Vierfürst in Galiläa und sein Bruder Philippus ein Vierfürst in Ituräa und in der Gegend Trachonitis und Lysanias ein Vierfürst zu Abilene,
Lukas_Lk_42_3_2_da Hannas und Kaiphas Hohepriester waren: da geschah der Befehl Gottes zu Johannes, des Zacharias Sohn, in der Wüste.
Lukas_Lk_42_3_3_Und er kam in alle Gegend um den Jordan und predigte die Taufe der Buße zur Vergebung Sünden,
Lukas_Lk_42_3_4_wie geschrieben steht in dem Buch der Reden Jesaja's, des Propheten, der da sagt: \"Es ist eine Stimme eines Predigers in der Wüste: Bereitet den Weg des HERRN und macht seine Steige richtig!
Lukas_Lk_42_3_5_Alle Täler sollen voll werden, und alle Berge und Hügel erniedrigt werden; und was krumm ist, soll richtig werden, und was uneben ist, soll schlichter Weg werden.
Lukas_Lk_42_3_6_Und alles Fleisch wird den Heiland Gottes sehen.\"
Lukas_Lk_42_3_7_Da sprach er zu dem Volk, das hinausging, daß sich von ihm Taufen ließe: Ihr Otterngezüchte, wer hat denn euch gewiesen, daß ihr dem zukünftigen Zorn entrinnen werdet?
Lukas_Lk_42_3_8_Sehet zu, tut rechtschaffene Früchte der Buße und nehmt euch nicht vor, zu sagen: Wir haben Abraham zum Vater. Denn ich sage euch: Gott kann dem Abraham aus diesen Steinen Kinder erwecken.
Lukas_Lk_42_3_9_Es ist schon die Axt den Bäumen an die Wurzel gelegt; welcher Baum nicht gute Frucht bringt, wird abgehauen und in das Feuer geworfen.
Lukas_Lk_42_3_10_Und das Volk fragte ihn und sprach: Was sollen wir denn tun?
Lukas_Lk_42_3_11_Er antwortete aber und sprach zu ihnen: Wer zwei Röcke hat, der gebe dem, der keinen hat; und wer Speise hat, der tue auch also.
Lukas_Lk_42_3_12_Es kamen auch die Zöllner, daß sie sich taufen ließen, und sprachen zu ihm: Meister, was sollen denn wir tun?
Lukas_Lk_42_3_13_Er sprach zu ihnen: Fordert nicht mehr, denn gesetzt ist.
Lukas_Lk_42_3_14_Da fragten ihn auch die Kriegsleute und sprachen: Was sollen denn wir tun? Und er sprach zu ihnen: Tut niemand Gewalt noch Unrecht und laßt euch genügen an eurem Solde.
Lukas_Lk_42_3_15_Als aber das Volk im Wahn war und dachten in ihren Herzen von Johannes, ob er vielleicht Christus wäre,
Lukas_Lk_42_3_16_antwortete Johannes und sprach zu allen: Ich taufe euch mit Wasser; es kommt aber ein Stärkerer nach mir, dem ich nicht genugsam bin, daß ich die Riemen seiner Schuhe auflöse; der wird euch mit dem heiligen Geist und mit Feuer taufen.
Lukas_Lk_42_3_17_In seiner Hand ist die Wurfschaufel, und er wird seine Tenne fegen und wird den Weizen in seine Scheuer sammeln, und die Spreu wird er mit dem ewigen Feuer verbrennen.
Lukas_Lk_42_3_18_Und viel anderes mehr ermahnte er das Volk und verkündigte ihnen das Heil.
Lukas_Lk_42_3_19_Herodes aber, der Vierfürst, da er von ihm gestraft ward um der Herodias willen, seines Bruders Weib, und um alles Übels willen, das Herodes tat,
Lukas_Lk_42_3_20_legte er über das alles Johannes gefangen.
Lukas_Lk_42_3_21_Und es begab sich, da sich alles Volk taufen ließ und Jesus auch getauft war und betete, daß sich der Himmel auftat
Lukas_Lk_42_3_22_und der heilige Geist fuhr hernieder in leiblicher Gestalt auf ihn wie eine Taube und eine Stimme kam aus dem Himmel, die sprach: Du bist mein lieber Sohn, an dem ich Wohlgefallen habe.
Lukas_Lk_42_3_23_Und Jesus war, da er anfing, ungefähr dreißig Jahre alt, und ward gehalten für einen Sohn Josephs, welcher war ein Sohn Eli's,
Lukas_Lk_42_3_24_der war ein Sohn Matthats, der war ein Sohn Levis, der war ein Sohn Melchis, der war ein Sohn Jannas, der war ein Sohn Josephs,
Lukas_Lk_42_3_25_der war ein Sohn des Mattathias, der war ein Sohn des Amos, der war ein Sohn Nahums, der war ein Sohn Eslis, der war ein Sohn Nangais,
Lukas_Lk_42_3_26_der war ein Sohn Maaths, der war ein Sohn des Mattathias, der war ein Sohn Simeis, der war ein Sohn Josechs, der war ein Sohn Juda's,
Lukas_Lk_42_3_27_der war ein Sohn Johanans, der war ein Sohn Resas, der war ein Sohn Serubabels, der war ein Sohn Sealthiels, der war ein Sohn Neris,
Lukas_Lk_42_3_28_der war ein Sohn Melchis, der war ein Sohn Addis, der war ein Sohn Kosams, der war ein Sohn Elmadams, der war ein Sohn Hers,
Lukas_Lk_42_3_29_der war ein Sohn des Jesus, der war ein Sohn Eliesers, der war ein Sohn Jorems, der war ein Sohn Matthats, der war ein Sohn Levis,
Lukas_Lk_42_3_30_der war ein Sohn Simeons, der war ein Sohn Judas, der war ein Sohn Josephs, der war ein Sohn Jonams, der war ein Sohn Eliakims,
Lukas_Lk_42_3_31_der war ein Sohn Meleas, der war ein Sohn Menams, der war ein Sohn Mattathans, der war ein Sohn Nathans, der war ein Sohn Davids,
Lukas_Lk_42_3_32_der war ein Sohn Jesses, der war ein Sohn Obeds, der war ein Sohn des Boas, der war ein Sohn Salmas, der war ein Sohn Nahessons,
Lukas_Lk_42_3_33_der war ein Sohn Amminadabs, der war ein Sohn Rams, der war ein Sohn Hezrons, der war ein Sohn des Perez, der war ein Sohn Juda's,
Lukas_Lk_42_3_34_der war ein Sohn Jakobs, der war ein Sohn Isaaks, der war ein Sohn Abrahams, der war ein Sohn Tharahs, der war ein Sohn Nahors,
Lukas_Lk_42_3_35_der war ein Sohn Serugs, der war ein Sohn Regus, der war ein Sohn Pelegs, der war ein Sohn Ebers, der war ein Sohn Salahs,
Lukas_Lk_42_3_36_der war ein Sohn Kenans, der war ein Sohn Arphachsads, der war ein Sohn Sems, der war ein Sohn Noahs, der war ein Sohn Lamechs,
Lukas_Lk_42_3_37_der war ein Sohn Methusalahs, der war ein Sohn Henochs, der war ein Sohn Jareds, der war ein Sohn Mahalaleels, der war ein Sohn Kenans,
Lukas_Lk_42_3_38_der war ein Sohn des Enos, der war ein Sohn Seths, der war ein Sohn Adams, der war Gottes.
Lukas_Lk_42_4_1_Jesus aber, voll des heiligen Geistes, kam wieder von dem Jordan und ward vom Geist in die Wüste geführt
Lukas_Lk_42_4_2_und ward vierzig Tage lang vom Teufel versucht. Und er aß nichts in diesen Tagen; und da sie ein Ende hatten, hungerte ihn darnach.
Lukas_Lk_42_4_3_Der Teufel aber sprach zu ihm: Bist du Gottes Sohn, so sprich zu dem Stein, daß er Brot werde.
Lukas_Lk_42_4_4_Und Jesus antwortete und sprach zu ihm: Es steht geschrieben: \"Der Mensch lebt nicht allein vom Brot, sondern von einem jeglichen Wort Gottes.\"
Lukas_Lk_42_4_5_Und der Teufel führte ihn auf einen hohen Berg und zeigte ihm alle Reiche der ganzen Welt in einem Augenblick
Lukas_Lk_42_4_6_und sprach zu ihm: Alle diese Macht will ich dir geben und ihre Herrlichkeit; denn sie ist mir übergeben, und ich gebe sie, welchem ich will.
Lukas_Lk_42_4_7_So du nun mich willst anbeten, so soll es alles dein sein.
Lukas_Lk_42_4_8_Jesus antwortete ihm und sprach: Es steht geschrieben: \"Du sollst Gott, deinen HERRN, anbeten und ihm allein dienen.\"
Lukas_Lk_42_4_9_Und er führte ihn gen Jerusalem und stellte ihn auf des Tempels Zinne und sprach zu ihm: Bist du Gottes Sohn, so laß dich von hinnen hinunter
Lukas_Lk_42_4_10_denn es steht geschrieben: \"Er wird befehlen seinen Engeln von dir, daß sie dich bewahren
Lukas_Lk_42_4_11_und auf den Händen tragen, auf daß du nicht etwa deinen Fuß an einen Stein stößt.\"
Lukas_Lk_42_4_12_Jesus antwortete und sprach zu ihm: Es ist gesagt: \"Du sollst Gott, deinen HERRN, nicht versuchen.\"
Lukas_Lk_42_4_13_Und da der Teufel alle Versuchung vollendet hatte, wich er von ihm eine Zeitlang.
Lukas_Lk_42_4_14_Und Jesus kam wieder in des Geistes Kraft nach Galiläa; und das Gerücht erscholl von ihm durch alle umliegenden Orte.
Lukas_Lk_42_4_15_Und er lehrte in ihren Schulen und ward von jedermann gepriesen.
Lukas_Lk_42_4_16_Und er kam gen Nazareth, da er erzogen war, und ging in die Schule nach seiner Gewohnheit am Sabbattage und stand auf und wollte lesen.
Lukas_Lk_42_4_17_Da ward ihm das Buch des Propheten Jesaja gereicht. Und da er das Buch auftat, fand er den Ort, da geschrieben steht:
Lukas_Lk_42_4_18_\"Der Geist des HERRN ist bei mir, darum, daß er mich gesalbt hat; er hat mich gesandt, zu verkündigen das Evangelium den Armen, zu heilen die zerstoßenen Herzen, zu predigen den Gefangenen, daß sie los sein sollten, und den Blinden das Gesicht und den Zerschlagenen, daß sie frei und ledig sein sollen,
Lukas_Lk_42_4_19_und zu verkündigen das angenehme Jahr des HERRN.\"
Lukas_Lk_42_4_20_Und als er das Buch zutat, gab er's dem Diener und setzte sich. Und aller Augen, die in der Schule waren, sahen auf ihn.
Lukas_Lk_42_4_21_Und er fing an, zu sagen zu ihnen: Heute ist diese Schrift erfüllt vor euren Ohren.
Lukas_Lk_42_4_22_Und sie gaben alle Zeugnis von ihm und wunderten sich der holdseligen Worte, die aus seinem Munde gingen, und sprachen: \"Ist das nicht Josephs Sohn?\"
Lukas_Lk_42_4_23_Und er sprach zu ihnen: Ihr werdet freilich zu mir sagen dies Sprichwort: Arzt, hilf dir selber! Denn wie große Dinge haben wir gehört, zu Kapernaum geschehen! Tue also auch hier, in deiner Vaterstadt.
Lukas_Lk_42_4_24_Er sprach aber: Wahrlich, ich sage euch: \"Kein Prophet ist angenehm in seinem Vaterlande.
Lukas_Lk_42_4_25_Aber in der Wahrheit sage ich euch: Es waren viele Witwen in Israel zu Elia's Zeiten, da der Himmel verschlossen war drei Jahre und sechs Monate, da eine große Teuerung war im ganzen Lande
Lukas_Lk_42_4_26_und zu deren keiner ward Elia gesandt denn allein gen Sarepta der Sidonier zu einer Witwe.
Lukas_Lk_42_4_27_Und viele Aussätzige waren in Israel zu des Propheten Elisa Zeiten; und deren keiner wurde gereinigt denn allein Naeman aus Syrien.
Lukas_Lk_42_4_28_Und sie wurden voll Zorns alle, die in der Schule waren, da sie das hörten,
Lukas_Lk_42_4_29_und standen auf und stießen ihn zur Stadt hinaus und führten ihn auf einen Hügel des Berges, darauf ihre Stadt gebaut war, daß sie ihn hinabstürzten.
Lukas_Lk_42_4_30_Aber er ging mitten durch sie hinweg.
