Maleachi_Mal_39_1_1_Dies ist die Last, die der HERR redet wider Israel durch Maleachi.
Maleachi_Mal_39_1_2_Ich habe euch lieb, spricht der HERR. So sprecht ihr: \"Womit hast du uns lieb?\" Ist nicht Esau Jakobs Bruder? spricht der HERR; und doch habe ich Jakob lieb
Maleachi_Mal_39_1_3_und hasse Esau und habe sein Gebirge öde gemacht und sein Erbe den Schakalen zur Wüste.
Maleachi_Mal_39_1_4_Und ob Edom sprechen würde: Wir sind verderbt, aber wir wollen das Wüste wieder erbauen! so spricht der HERR Zebaoth also: Werden sie bauen, so will ich abbrechen, und es soll heißen die verdammte Grenze und ein Volk, über das der HERR zürnt ewiglich.
Maleachi_Mal_39_1_5_Das sollen eure Augen sehen, und ihr werdet sagen: Der HERR ist herrlich in den Grenzen Israels.
Maleachi_Mal_39_1_6_Ein Sohn soll seinen Vater ehren und ein Knecht seinen Herrn. Bin ich nun Vater, wo ist meine Ehre? bin ich HERR, wo fürchtet man mich? spricht der HERR Zebaoth zu euch Priestern, die meinen Namen verachten. So sprecht ihr: \"Womit verachten wir deinen Namen?\"
Maleachi_Mal_39_1_7_Damit daß ihr opfert auf meinem Altar unreines Brot. So sprecht ihr: \"Womit opfern wir dir Unreines?\" damit daß ihr sagt: \"Des HERRN Tisch ist verachtet.\"
Maleachi_Mal_39_1_8_Und wenn ihr ein blindes opfert, so muß es nicht böse heißen; und wenn ihr ein Lahmes oder Krankes opfert, so muß es auch nicht böse heißen. Bringe es deinem Fürsten! was gilt's, ob du ihm gefallen werdest, oder ob er deine Person ansehen werde? spricht der HERR Zebaoth.
Maleachi_Mal_39_1_9_So bittet nun Gott, daß er uns gnädig sei! denn solches ist geschehen von euch. Meint ihr, er werde eure Person ansehen? spricht der HERR Zebaoth.
Maleachi_Mal_39_2_6_Das Gesetz der Wahrheit war in seinem Munde, und ward kein Böses in seinen Lippen gefunden. Er wandelte vor mir friedsam und aufrichtig und bekehrte viele von Sünden.
Maleachi_Mal_39_2_7_Denn des Priesters Lippen sollen die Lehre bewahren, daß man aus seinem Munde das Gesetz suche; denn er ist ein Engel des HERRN Zebaoth.
Maleachi_Mal_39_2_8_Ihr aber seid von dem Wege abgetreten und ärgert viele im Gesetz und habt den Bund Levis gebrochen, spricht der HERR Zebaoth.
Maleachi_Mal_39_2_9_Darum habe ich auch euch gemacht, daß ihr verachtet und unwert seid vor dem ganzen Volk, weil ihr meine Wege nicht haltet und seht Personen an im Gesetz.
Maleachi_Mal_39_2_10_Haben nicht alle einen Vater? Hat uns nicht ein Gott geschaffen? Warum verachten wir denn einer den andern und entheilgen den Bund, mit unsern Vätern gemacht?
Maleachi_Mal_39_2_11_Denn Juda ist ein Verräter geworden, und in Israel und zu Jerusalem geschehen Greuel. Denn Juda entheiligt, was dem HERRN heilig ist und was er liebhat, und buhlt mit eines fremden Gottes Tochter.
Maleachi_Mal_39_2_12_Aber der HERR wird den, so solches tut, ausrotten aus der Hütte Jakobs, beide, Meister und Schüler, samt dem, der dem HERRN Zebaoth Speisopfer bringt.
Maleachi_Mal_39_2_13_Weiter tut ihr auch das: ihr bedeckt den Altar des HERRN mit Tränen und Weinen und Seufzen, daß ich nicht mehr mag das Speisopfer ansehen noch etwas Angenehmes von euren Händen empfangen.
Maleachi_Mal_39_2_14_Und so sprecht ihr: \"Warum das?\" Darum daß der HERR zwischen dir und dem Weibe deiner Jugend Zeuge war, die du verachtest, so sie doch deine Gesellin und ein Weib deines Bundes ist.
Maleachi_Mal_39_2_15_Also tat der Eine nicht, und war doch großen Geistes. Was tat aber der Eine? Er suchte den Samen, von Gott verheißen. Darum so sehet euch vor vor eurem Geist und verachte keiner das Weib seiner Jugend.
Maleachi_Mal_39_2_16_Wer ihr aber gram ist und verstößt sie, spricht der HERR, der Gott Israels, der bedeckt mit Frevel sein Kleid, spricht der HERR Zebaoth. Darum so seht euch vor vor eurem Geist und verachtet sie nicht.
Maleachi_Mal_39_2_17_Ihr macht den HERRN unwillig durch eure Reden. So sprecht ihr: \"Womit machen wir ihn unwillig?\" damit daß ihr sprecht: \"Wer Böses tut, der gefällt dem HERRN, und zu solchen hat er Lust\", oder: \"Wo ist der Gott, der da strafe?\"
Maleachi_Mal_39_3_1_Siehe, ich will meinen Engel senden, der vor mir her den Weg bereiten soll. Und bald wird kommen zu seinem Tempel der HERR, den ihr suchet; der Engel des Bundes, des ihr begehret, siehe, er kommt! spricht der HERR Zebaoth.
Maleachi_Mal_39_3_2_Wer wird aber den Tag seiner Zukunft erleiden können, und wer wird bestehen, wenn er wird erscheinen? Denn er ist wie das Feuer eines Goldschmieds und wie die Seifen der Wäscher.
Maleachi_Mal_39_3_3_Er wird sitzen und schmelzen und das Silber reinigen; er wird die Kinder Levi reinigen und läutern wie Gold und Silber. Dann werden sie dem HERRN Speisopfer bringen in Gerechtigkeit,
Maleachi_Mal_39_3_4_und wird dem HERRN wohl gefallen das Speisopfer Juda's und Jerusalems wie vormals und vor langen Jahren.
Maleachi_Mal_39_3_5_Und ich will zu euch kommen und euch strafen und will ein schneller Zeuge sein wider die Zauberer, Ehebrecher und Meineidigen und wider die, so Gewalt und Unrecht tun den Tagelöhnern, Witwen und Waisen und den Fremdling drücken und mich nicht fürchten, spricht der HERR Zebaoth.
Maleachi_Mal_39_3_6_Denn ich bin der HERR und wandle mich nicht; und es soll mit euch Kindern Jakobs nicht gar aus sein.
Maleachi_Mal_39_3_7_Ihr seid von eurer Väter Zeit immerdar abgewichen von meinen Geboten und habt sie nicht gehalten. So bekehrt euch nun zu mir, so will ich mich zu euch auch kehren, spricht der HERR Zebaoth. So sprecht ihr: \"Worin sollen wir uns bekehren?\"
Maleachi_Mal_39_3_8_Ist's recht, daß ein Mensch Gott täuscht, wie ihr mich den täuschet? So sprecht ihr: \"Womit täuschen wir dich?\" Am Zehnten und Hebopfer.
Maleachi_Mal_39_3_9_Darum seid ihr auch verflucht, daß euch alles unter den Händen zerrinnt; denn ihr täuscht mich allesamt.
Maleachi_Mal_39_3_10_Bringt mir den Zehnten ganz in mein Kornhaus, auf daß in meinem Hause Speise sei, und prüft mich hierin, spricht der HERR Zebaoth, ob ich euch nicht des Himmels Fenster auftun werde und Segen herabschütten die Fülle.
Maleachi_Mal_39_3_11_Und ich will für euch den Fresser schelten, daß er euch die Frucht auf dem Felde nicht verderben soll und der Weinstock im Acker euch nicht unfruchtbar sei, spricht der HERR Zebaoth;
Maleachi_Mal_39_3_12_daß euch alle Heiden sollen selig preisen, denn ihr sollt ein wertes Land sein, spricht der HERR Zebaoth.
Maleachi_Mal_39_3_13_Ihr redet hart wider mich, spricht der HERR. So sprecht ihr: \"Was reden wir wider dich?\"
Maleachi_Mal_39_3_14_Damit daß ihr sagt: Es ist umsonst, daß man Gott dient; und was nützt es, daß wir sein Gebot halten und ein hartes Leben vor dem HERR Zebaoth führen?
Maleachi_Mal_39_3_15_Darum preisen wir die Verächter; denn die Gottlosen nehmen zu; sie versuchen Gott, und alles geht ihnen wohl aus.
Maleachi_Mal_39_3_16_Aber die Gottesfürchtigen trösten sich untereinander also: Der HERR merkt und hört es, und vor ihm ist ein Denkzettel geschrieben für die, so den HERRN fürchten und an seinen Namen gedenken.
Maleachi_Mal_39_3_17_Sie sollen spricht der HERR Zebaoth, des Tages, den ich machen will, mein Eigentum sein; und ich will ihrer schonen, wie ein Mann seines Sohnes schont, der ihm dient.
Maleachi_Mal_39_3_18_Und ihr sollt dagegen wiederum den Unterschied sehen, was für ein Unterschied sei zwischen dem Gerechten und dem Gottlosen, und zwischen dem, der Gott dient, und dem, der ihm nicht dient.
Maleachi_Mal_39_4_1_Denn siehe, es kommt ein Tag, der brennen soll wie ein Ofen; da werden alle Verächter und Gottlosen Stroh sein, und der künftige Tag wird sie anzünden, spricht der HERR Zebaoth, und wird ihnen weder Wurzel noch Zweige lassen.
Maleachi_Mal_39_4_2_Euch aber, die ihr meinen Namen fürchtet, soll aufgehen die Sonne der Gerechtigkeit und Heil unter ihren Flügeln; und ihr sollt aus und eingehen und hüpfen wie die Mastkälber.
Maleachi_Mal_39_4_3_Ihr werdet die Gottlosen zertreten; denn sie sollen Asche unter euren Füßen werden des Tages, den ich machen will, spricht der HERR Zebaoth.
Maleachi_Mal_39_4_4_Gedenkt des Gesetzes Mose's, meines Knechtes, das ich ihm befohlen habe auf dem Berge Horeb an das ganze Israel samt den Geboten und Rechten.
Maleachi_Mal_39_4_5_Siehe, ich will euch senden den Propheten Elia, ehe denn da komme der große und schreckliche Tag des HERRN.
Maleachi_Mal_39_4_6_Der soll das Herz der Väter bekehren zu den Kindern und das Herz der Kinder zu ihren Vätern, daß ich nicht komme und das Erdreich mit dem Bann schlage.
